"Site","Quadrat","Biomass"
1,1,61.3333044323044
1,2,61.0975906997857
1,3,62.5096760828974
1,4,57.8112097514265
1,5,68.3874629361776
1,6,65.5504468142967
1,7,55.23945610804
1,8,60.9907355455556
1,9,60.3001767357059
1,10,60.5272258629724
1,11,68.2268097174488
1,12,55.881114216888
1,13,64.9862113980991
1,14,61.3916247491366
1,15,59.7217529220788
1,16,67.8465885211941
1,17,61.1087376825743
1,18,51.230643949924
1,19,49.7303295385772
1,20,57.2598472728423
1,21,54.2688103382098
1,22,50.0852378640196
1,23,54.7319311859324
1,24,45.3894919617466
1,25,56.6511686150868
1,26,57.0703679113982
1,27,57.6479910924666
1,28,59.815018936437
1,29,62.8991950750877
1,30,56.2662849380362
1,31,62.3881088819166
1,32,52.3783348252933
1,33,65.3403246292191
1,34,60.6979083142179
1,35,59.1263244195334
1,36,54.5800624224116
1,37,73.5905812513428
1,38,63.086648017563
1,39,61.974056230347
1,40,39.3045459480374
1,41,44.2951758376925
1,42,59.5095613736108
1,43,67.1620203005092
1,44,59.7755298281506
1,45,52.0020238668006
1,46,58.7231683151791
1,47,55.7784508164166
1,48,61.7292516491054
1,49,52.6483601560082
1,50,52.7952427621614
2,1,105.772175817763
2,2,118.577695880918
2,3,133.460944240801
2,4,105.710288477601
2,5,92.5483511811793
2,6,71.3223448791671
2,7,82.3106415979252
2,8,122.48365881996
2,9,85.5438840676097
2,10,109.253299141849
2,11,93.7489294093097
2,12,116.965089942394
2,13,98.2936084696719
2,14,85.6930980945803
2,15,85.2660786467805
2,16,99.8555472201723
2,17,114.009557409166
2,18,132.527846900992
2,19,132.493217935454
2,20,128.373705972854
2,21,80.1901316103498
2,22,112.267364904069
2,23,90.2234753810288
2,24,91.5482543730997
2,25,104.064913524887
2,26,129.904599814207
2,27,74.2942969437675
2,28,142.930208261804
2,29,96.7470891806623
2,30,89.5323571191626
2,31,116.868937322087
2,32,93.9738333173962
2,33,121.756830161388
2,34,100.818696405934
2,35,105.730705034326
2,36,99.9177318661501
2,37,113.736264075039
2,38,97.1064084076821
2,39,87.7584413077449
2,40,112.61130756404
2,41,76.1459485408161
2,42,116.699348966449
2,43,111.946562306106
2,44,76.3837461833492
2,45,113.34943564573
2,46,82.436009217914
2,47,121.949426322345
2,48,78.1792312819376
2,49,98.140489376035
2,50,69.8083359026979
3,1,127.361080516994
3,2,135.986575411851
3,3,163.043298443395
3,4,139.471047777066
3,5,117.845984753408
3,6,138.921753709197
3,7,113.385796303787
3,8,127.963500404222
3,9,139.570700855207
3,10,107.272877862207
3,11,137.24725141368
3,12,138.85334026805
3,13,121.610888830978
3,14,128.428180598952
3,15,152.572349772232
3,16,122.631768218471
3,17,131.424364013421
3,18,128.328632990817
3,19,132.452133813248
3,20,147.126188600181
3,21,122.371237489932
3,22,127.980628583431
3,23,126.956955352463
3,24,121.273467979559
3,25,107.890738920282
3,26,128.305569991212
3,27,108.010727861383
3,28,127.940484380153
3,29,122.271101559303
3,30,135.094092925324
3,31,127.833492892684
3,32,123.255574076668
3,33,122.673721964444
3,34,129.406702921888
3,35,137.505261238854
3,36,131.329321255127
3,37,124.092213474472
3,38,128.128170147425
3,39,149.781843006323
3,40,116.498538841104
3,41,127.354793142993
3,42,125.281011534402
3,43,124.308138478094
3,44,153.327194429354
3,45,125.109556596352
3,46,122.308757291926
3,47,120.338009550269
3,48,142.680500697547
3,49,141.033323027916
3,50,110.776950178515
