"Site","Quadrat","Nitrogen"
1,1,0.301520117059409
1,2,0.282331442355577
1,3,0.251764447445384
1,4,0.265758920355553
1,5,0.27585874588205
1,6,0.096953860076716
1,7,0.285513854831941
1,8,0.205750620171884
1,9,0.24153084153156
1,10,0.215242109955821
1,11,0.273598247703937
1,12,0.212576377552219
1,13,0.255925188294412
1,14,0.210465751068051
1,15,0.175360639544925
1,16,0.290500525522013
1,17,0.267045000563714
1,18,0.316213111957823
1,19,0.233257696628965
1,20,0.286250137291409
1,21,0.328770952700954
1,22,0.215925894248052
1,23,0.163852444362239
1,24,0.218032421643094
1,25,0.219297938000731
1,26,0.237584025225466
1,27,0.315615248865964
1,28,0.213692805374733
1,29,0.248650232790246
1,30,0.218615796755223
1,31,0.231022535426252
1,32,0.245702883175313
1,33,0.296410734801849
1,34,0.236065918874539
1,35,0.265642116001556
1,36,0.268943001489177
1,37,0.275738663542782
1,38,0.201280272390781
1,39,0.311344060709734
1,40,0.210952163035299
1,41,0.224710791617512
1,42,0.300202513385709
1,43,0.294704195307279
1,44,0.175500406379438
1,45,0.186346449979127
1,46,0.162096047031469
1,47,0.239092359630992
1,48,0.238242043395923
1,49,0.248205734367753
1,50,0.257607885710928
2,1,0.186149529854662
2,2,0.390719040701615
2,3,0.440877901173463
2,4,0.234917568650937
2,5,0.428062559987522
2,6,0.29718257296032
2,7,0.482025301216443
2,8,0.433848203210264
2,9,0.456905229499561
2,10,0.392071932928703
2,11,0.466364843415775
2,12,0.518051452831454
2,13,0.576624801545563
2,14,0.377160494525093
2,15,0.15509489096676
2,16,0.383152600459399
2,17,0.400556120844997
2,18,0.36446546528556
2,19,0.436828862077707
2,20,0.481067796451426
2,21,0.328201756983218
2,22,0.350590467284389
2,23,0.419784220880034
2,24,0.324977625851086
2,25,0.389126738348824
2,26,0.18382924011147
2,27,0.268010027860238
2,28,0.247224452439587
2,29,0.294637630327276
2,30,0.310669547206933
2,31,0.418230514254637
2,32,0.478211300252264
2,33,0.307261647091246
2,34,0.2803161017622
2,35,0.275831114101049
2,36,0.338541127363633
2,37,0.356097093184744
2,38,0.428361753383827
2,39,0.347867515783161
2,40,0.172151073113998
2,41,0.370856572444986
2,42,0.498718681065156
2,43,0.499160126851033
2,44,0.301103678188877
2,45,0.225222345636243
2,46,0.625806049186527
2,47,0.363757805752058
2,48,0.370254874989438
2,49,0.422057418869815
2,50,0.218596054338088
3,1,0.42902466221661
3,2,0.372169031629699
3,3,0.431483377019258
3,4,0.488319460310319
3,5,0.384470337940916
3,6,0.521298787555712
3,7,0.500254082017213
3,8,0.416704948206555
3,9,0.495842745966674
3,10,0.532365681374569
3,11,0.554276667728322
3,12,0.465100620494743
3,13,0.473445424426227
3,14,0.473930010551265
3,15,0.580902322923853
3,16,0.55875503245946
3,17,0.538408109742993
3,18,0.459886144011151
3,19,0.506126900391648
3,20,0.508230323185449
3,21,0.407082869399747
3,22,0.359018683927548
3,23,0.524928101935613
3,24,0.37294826281737
3,25,0.480117858193895
3,26,0.497517347494383
3,27,0.519470717321412
3,28,0.493259836626037
3,29,0.428700233559201
3,30,0.549045610192682
3,31,0.601704363683437
3,32,0.541682516624781
3,33,0.343944436907322
3,34,0.577970332978206
3,35,0.476076083766961
3,36,0.51674399955235
3,37,0.523542326510974
3,38,0.473231974875531
3,39,0.474731576164589
3,40,0.551340994853163
3,41,0.529812134574037
3,42,0.549318357223096
3,43,0.646804868666123
3,44,0.526509110458586
3,45,0.494516681016971
3,46,0.325255682259707
3,47,0.668419980227228
3,48,0.446212622474258
3,49,0.646231430056678
3,50,0.506225049760349
